symbol,factor_missing,factor_basis,raw_daily_obs,as1455_dates,matched_factor_dates,missing_factor_dates,factor_obs,factor_min,factor_max,factor_jump_dates
002078,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9028144491557946,1.0,7
002080,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.8551901955265244,1.0,7
002081,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.860597252717999,1.0,6
002085,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.92161304692542,1.0,6
002120,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7196912167839199,1.0,6
002126,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9631144471552318,1.0,7
002128,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1552,1552,0,1593,0.7562967327463405,1.0,9
002129,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.767822227137826,1.0,5
002130,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.962259322038242,1.0,6
002131,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1558,1558,0,1593,0.9619613227587619,1.0,5
002138,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9129900147850663,1.0,7
002142,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1555,1555,0,1593,0.8337012801870649,1.0,8
002145,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6604118603828649,1.0,7
002149,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9260824362515695,1.0,8
002151,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.99246146126995,1.0,2
002152,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8855048982615173,1.0,8
002155,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.7334625351363496,1.0,6
002156,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9912149616651756,1.0,4
002157,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1558,1558,0,1593,0.9426567851380803,1.0,2
002158,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.857317168817591,1.0,7
002171,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8904616155002198,1.0,7
002176,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1549,1549,0,1593,1.0,1.0,0
002179,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5089880538676439,1.0,7
002180,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1552,1552,0,1593,0.9881584213378178,1.0,4
002181,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.929228260114076,1.0,6
002183,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9797020953540684,1.0,6
002185,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.9806637697247815,1.0,7
