date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,fund_days_since_effective,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q
2026-04-30,75.58,136.217915,10.094695,16.318709,148.019353,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,5,,,,,-0.037071,-0.0010439999999999894,-0.03193400000000002,-157976898.01,0.03427899999999995,,4361.0,4361.0,-0.015834,-0.11287199999999997,0.032866000000000006,-0.017315999999999998,0.009663000000000033,-0.1264489999999998,-0.2579,-0.29942,-0.190948,0.5919920000000001,-0.1776629999999999,-0.07300699999999999,0.07300699999999993,0.023685999999999985,0.3642510000000003,-0.14491400000000002,-1.148376,-0.14491400000000002
2026-05-06,81.39,146.689284,10.870696,17.573164,159.397925,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,11,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,80.41,144.923029,10.739804,17.361569,157.478648,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,12,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,78.76,141.949232,10.519425,17.005312,154.247212,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,13,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,77.16,139.065551,10.305725,16.659851,151.113698,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,16,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,75.13,135.40688,10.034592,16.221548,147.138053,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,17,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,80.5,145.085236,10.751825,17.381001,157.654908,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,18,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-14,74.4,134.0912,9.937091,16.063931,145.708387,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,19,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15,73.74,132.901681,9.848939,15.921429,144.415813,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,20,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,73.01,131.587229,9.751529,15.763959,142.987481,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,23,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,73.1,131.749437,9.76355,15.783392,143.163743,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,24,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,73.49,132.452341,9.81564,15.867599,143.927544,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,25,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,71.67,129.172123,9.572553,15.474633,140.363139,2026-04-24,2026-03-31,0.023479,0.12639,0.337236,112325434.08,0.554847,,679040802.0,679040802.0,True,2026-04-25,0.771458,116.662228,0.240578,374.064838,0.190222,0.065817,0.095431,0.153843,0.315239,0.285714,0.305532,1.528952,0.764195,0.242375,0.209069,0.598242,2.489061,0.351372,0.648628,0.278293,3.979652,-0.172824,-1.367388,-0.172824,26,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
