symbol,updated_at
300496.SZ,2026-06-27 23:17:38
300498.SZ,2026-06-27 23:17:42
300502.SZ,2026-06-27 23:17:45
300503.SZ,2026-06-27 23:17:48
300548.SZ,2026-06-27 23:17:51
300558.SZ,2026-06-27 23:17:53
300567.SZ,2026-06-27 23:17:55
300568.SZ,2026-06-27 23:17:57
300570.SZ,2026-06-27 23:18:00
300593.SZ,2026-06-27 23:18:02
300602.SZ,2026-06-27 23:18:04
300604.SZ,2026-06-27 23:18:06
300613.SZ,2026-06-27 23:18:08
300620.SZ,2026-06-27 23:18:10
300623.SZ,2026-06-27 23:18:11
300627.SZ,2026-06-27 23:18:13
300628.SZ,2026-06-27 23:18:15
300655.SZ,2026-06-27 23:18:17
300657.SZ,2026-06-27 23:18:19
300660.SZ,2026-06-27 23:18:20
300661.SZ,2026-06-27 23:18:22
300666.SZ,2026-06-27 23:18:24
300672.SZ,2026-06-27 23:18:26
300676.SZ,2026-06-27 23:18:28
300677.SZ,2026-06-27 23:18:30
300679.SZ,2026-06-27 23:18:31
300699.SZ,2026-06-27 23:18:33
300718.SZ,2026-06-27 23:18:35
300720.SZ,2026-06-27 23:18:36
300723.SZ,2026-06-27 23:18:38
300724.SZ,2026-06-27 23:18:40
300726.SZ,2026-06-27 23:18:42
300735.SZ,2026-06-27 23:18:43
300738.SZ,2026-06-27 23:18:45
300747.SZ,2026-06-27 23:18:47
300748.SZ,2026-06-27 23:18:49
300750.SZ,2026-06-27 23:18:51
300751.SZ,2026-06-27 23:18:53
300757.SZ,2026-06-27 23:18:56
300759.SZ,2026-06-27 23:18:58
300760.SZ,2026-06-27 23:19:01
300762.SZ,2026-06-27 23:19:03
300763.SZ,2026-06-27 23:19:05
300765.SZ,2026-06-27 23:19:06
300769.SZ,2026-06-27 23:19:08
300773.SZ,2026-06-27 23:19:10
300776.SZ,2026-06-27 23:19:12
600000.SH,2026-06-27 23:19:14
600004.SH,2026-06-27 23:19:15
600007.SH,2026-06-27 23:19:17
600008.SH,2026-06-27 23:19:19
600009.SH,2026-06-27 23:19:21
600010.SH,2026-06-27 23:19:22
600011.SH,2026-06-27 23:19:24
600012.SH,2026-06-27 23:19:26
600015.SH,2026-06-27 23:19:27
600016.SH,2026-06-27 23:19:29
600018.SH,2026-06-27 23:19:31
600019.SH,2026-06-27 23:19:32
600021.SH,2026-06-27 23:19:34
600022.SH,2026-06-27 23:19:36
600023.SH,2026-06-27 23:19:38
600025.SH,2026-06-27 23:19:39
600026.SH,2026-06-27 23:19:41
600027.SH,2026-06-27 23:19:43
600028.SH,2026-06-27 23:19:45
600029.SH,2026-06-27 23:19:46
600030.SH,2026-06-27 23:19:48
600031.SH,2026-06-27 23:19:50
600036.SH,2026-06-27 23:19:51
600038.SH,2026-06-27 23:19:53
600039.SH,2026-06-27 23:19:55
600048.SH,2026-06-27 23:19:56
600050.SH,2026-06-27 23:19:58
600056.SH,2026-06-27 23:19:59
600060.SH,2026-06-27 23:20:01
600061.SH,2026-06-27 23:20:03
600062.SH,2026-06-27 23:20:04
600063.SH,2026-06-27 23:20:06
600064.SH,2026-06-27 23:20:07
600066.SH,2026-06-27 23:20:09
600085.SH,2026-06-27 23:20:10
600089.SH,2026-06-27 23:20:12
600095.SH,2026-06-27 23:20:14
600096.SH,2026-06-27 23:20:15
600098.SH,2026-06-27 23:20:17
600100.SH,2026-06-27 23:20:18
600104.SH,2026-06-27 23:20:20
600105.SH,2026-06-27 23:20:22
600109.SH,2026-06-27 23:20:23
600110.SH,2026-06-27 23:20:25
600111.SH,2026-06-27 23:20:27
600113.SH,2026-06-27 23:20:28
600114.SH,2026-06-27 23:20:30
600115.SH,2026-06-27 23:20:31
600118.SH,2026-06-27 23:20:33
600120.SH,2026-06-27 23:20:35
600126.SH,2026-06-27 23:20:36
600131.SH,2026-06-27 23:20:38
600132.SH,2026-06-27 23:20:40
600141.SH,2026-06-27 23:20:41
600143.SH,2026-06-27 23:20:43
600150.SH,2026-06-27 23:20:45
600151.SH,2026-06-27 23:20:47
600153.SH,2026-06-27 23:20:49
600157.SH,2026-06-27 23:20:50
600160.SH,2026-06-27 23:20:52
600161.SH,2026-06-27 23:20:54
600166.SH,2026-06-27 23:20:56
600167.SH,2026-06-27 23:20:58
600170.SH,2026-06-27 23:20:59
600171.SH,2026-06-27 23:21:01
600172.SH,2026-06-27 23:21:03
600176.SH,2026-06-27 23:21:05
600177.SH,2026-06-27 23:21:07
600179.SH,2026-06-27 23:21:09
600183.SH,2026-06-27 23:21:11
600184.SH,2026-06-27 23:21:13
600186.SH,2026-06-27 23:21:15
600188.SH,2026-06-27 23:21:17
600196.SH,2026-06-27 23:21:19
600201.SH,2026-06-27 23:21:21
600206.SH,2026-06-27 23:21:23
600208.SH,2026-06-27 23:21:25
600219.SH,2026-06-27 23:21:27
600221.SH,2026-06-27 23:21:29
600226.SH,2026-06-27 23:21:31
600233.SH,2026-06-27 23:21:34
600236.SH,2026-06-27 23:21:36
600246.SH,2026-06-27 23:21:37
600256.SH,2026-06-27 23:21:39
600258.SH,2026-06-27 23:21:41
600259.SH,2026-06-27 23:21:42
600271.SH,2026-06-27 23:21:44
600276.SH,2026-06-27 23:21:46
600282.SH,2026-06-27 23:21:48
600295.SH,2026-06-27 23:21:49
600298.SH,2026-06-27 23:21:51
600299.SH,2026-06-27 23:21:53
600301.SH,2026-06-27 23:21:55
600309.SH,2026-06-27 23:21:57
600312.SH,2026-06-27 23:21:59
600316.SH,2026-06-27 23:22:00
600320.SH,2026-06-27 23:22:02
600323.SH,2026-06-27 23:22:04
600329.SH,2026-06-27 23:22:06
600330.SH,2026-06-27 23:22:08
600331.SH,2026-06-27 23:22:10
600332.SH,2026-06-27 23:22:12
600338.SH,2026-06-27 23:22:14
600339.SH,2026-06-27 23:22:16
600343.SH,2026-06-27 23:22:17
600346.SH,2026-06-27 23:22:19
600348.SH,2026-06-27 23:22:21
600350.SH,2026-06-27 23:22:23
600352.SH,2026-06-27 23:22:25
600353.SH,2026-06-27 23:22:26
600361.SH,2026-06-27 23:22:28
600362.SH,2026-06-27 23:22:30
600363.SH,2026-06-27 23:22:32
600366.SH,2026-06-27 23:22:34
600367.SH,2026-06-27 23:22:36
600369.SH,2026-06-27 23:22:38
600372.SH,2026-06-27 23:22:39
600377.SH,2026-06-27 23:22:41
600378.SH,2026-06-27 23:22:43
600380.SH,2026-06-27 23:22:44
600388.SH,2026-06-27 23:22:46
600390.SH,2026-06-27 23:22:47
600392.SH,2026-06-27 23:22:49
600396.SH,2026-06-27 23:22:51
600397.SH,2026-06-27 23:22:53
600398.SH,2026-06-27 23:22:55
600403.SH,2026-06-27 23:22:56
600406.SH,2026-06-27 23:22:58
600409.SH,2026-06-27 23:23:00
600410.SH,2026-06-27 23:23:02
600415.SH,2026-06-27 23:23:04
600416.SH,2026-06-27 23:23:06
600418.SH,2026-06-27 23:23:08
600426.SH,2026-06-27 23:23:10
600428.SH,2026-06-27 23:23:11
600435.SH,2026-06-27 23:23:13
600436.SH,2026-06-27 23:23:15
600438.SH,2026-06-27 23:23:17
600452.SH,2026-06-27 23:23:19
600456.SH,2026-06-27 23:23:21
600458.SH,2026-06-27 23:23:23
600459.SH,2026-06-27 23:23:25
600460.SH,2026-06-27 23:23:27
600475.SH,2026-06-27 23:23:29
600482.SH,2026-06-27 23:23:30
600483.SH,2026-06-27 23:23:32
600486.SH,2026-06-27 23:23:34
600487.SH,2026-06-27 23:23:36
600489.SH,2026-06-27 23:23:38
600490.SH,2026-06-27 23:23:40
600497.SH,2026-06-27 23:23:41
600498.SH,2026-06-27 23:23:43
600499.SH,2026-06-27 23:23:45
600500.SH,2026-06-27 23:23:47
600511.SH,2026-06-27 23:23:49
600515.SH,2026-06-27 23:23:50
600516.SH,2026-06-27 23:23:52
600517.SH,2026-06-27 23:23:54
600518.SH,2026-06-27 23:23:56
600519.SH,2026-06-27 23:23:58
600521.SH,2026-06-27 23:24:00
600522.SH,2026-06-27 23:24:01
600528.SH,2026-06-27 23:24:03
600531.SH,2026-06-27 23:24:05
600535.SH,2026-06-27 23:24:07
600536.SH,2026-06-27 23:24:09
600546.SH,2026-06-27 23:24:11
600547.SH,2026-06-27 23:24:12
600548.SH,2026-06-27 23:24:14
600549.SH,2026-06-27 23:24:16
600550.SH,2026-06-27 23:24:18
600552.SH,2026-06-27 23:24:21
600562.SH,2026-06-27 23:24:23
600563.SH,2026-06-27 23:24:26
600566.SH,2026-06-27 23:24:28
600570.SH,2026-06-27 23:24:30
600575.SH,2026-06-27 23:24:32
600577.SH,2026-06-27 23:24:33
600578.SH,2026-06-27 23:24:35
600580.SH,2026-06-27 23:24:37
600582.SH,2026-06-27 23:24:38
600583.SH,2026-06-27 23:24:40
600584.SH,2026-06-27 23:24:42
