date,002270.SZ,002311.SZ,002714.SZ,600096.SH,600276.SH,600312.SH,600487.SH,600522.SH,601899.SH,601985.SH,603308.SH
2018-05-16,4.57284508,23.1861385,10.8860438,5.5805838,39.77526546,6.66341312,22.57906092,9.16211,3.35707812,5.4868698,10.51309163
2018-05-17,4.57284508,23.08436375,10.9403487,5.69050439,39.04158069,6.59934184,22.62618478,9.12546156,3.32316824,5.4367614,10.79925485
2018-05-18,4.57284508,23.2601565,11.1909867,5.77505869,40.05311058,6.635954,23.04356754,9.21708266,3.36555559,5.5035726,10.82650849
2018-05-21,4.57284508,23.130625,10.5811009,6.0879096,39.84472674,6.74579048,24.29571582,10.14245577,3.390988,5.5703838,11.09223148
2018-05-22,4.57284508,22.8530575,11.1617456,6.05408788,41.30341362,6.79155568,24.4707473,10.37150852,3.34860065,5.553681,11.01047056
2018-05-23,4.57284508,22.760535,11.028072,6.0033553,41.09502978,6.73663744,23.7975493,9.95921357,3.33164571,5.553681,10.94233646
2018-05-24,4.57284508,22.51072425,11.2954192,5.96107815,40.84757397,6.74579048,23.87160108,9.92256513,3.29773583,5.5035726,10.52671845
2018-05-25,4.57284508,21.8168055,11.53979125,5.77505869,42.27153021,6.7274844,23.27245486,9.7118366,3.28925836,5.4618156,10.73793416
2018-05-28,4.57284508,22.168391,11.37687655,5.75814783,43.96030758,6.61764792,23.33977466,9.86759247,3.22991607,5.3615988,10.73793416
2018-05-29,4.57284508,22.242409,10.95914655,5.75814783,41.42497086,6.59934184,23.38689852,9.66602605,3.23839354,5.2279764,10.63573301
2018-05-30,4.57284508,22.45521075,10.9528806,5.45375235,42.11445636,6.30644456,21.62311976,9.16211,3.25534848,5.0692998,10.1519809
2018-05-31,4.57284508,22.760535,11.0071855,5.4960295,43.02433659,6.38882192,22.18860608,9.2537311,3.17905125,5.1110568,10.2882491
2018-06-01,4.57284508,22.4829675,10.82129565,5.46220778,41.82623343,6.38882192,21.9462548,9.12546156,3.11970896,5.0609484,10.09747362
2018-06-04,4.57284508,22.4829675,10.6312285,5.38610891,42.80393082,6.33390368,22.0472345,9.20792055,3.10275402,5.052597,9.79087017
2018-06-05,4.57284508,22.65876025,10.81711835,5.44529692,45.29621145,6.407128,22.76755636,9.5285944,3.15361884,5.01084,10.2882491
2018-06-06,4.57284508,21.99259825,10.9152849,5.40301977,46.57343463,6.37051584,22.97624774,9.50110807,3.35707812,4.9189746,10.220115
2018-06-07,4.57284508,22.057364,10.7983205,5.36919805,46.34737743,6.34305672,23.44075436,9.42781119,3.35707812,4.9440288,10.02933952
2018-06-08,4.57284508,22.08512075,10.55812575,5.23391117,45.86135445,6.15999592,23.17147516,9.27205532,3.3062133,4.8354606,9.57284105
2018-06-11,4.57284508,20.90083275,10.4892003,5.23391117,44.09245686,6.12338376,22.70023656,9.20792055,3.40794294,4.8688662,9.42294603
2018-06-12,4.57284508,21.51148125,10.51217545,5.28464375,44.45414838,6.12338376,23.1580112,9.32702798,3.43337535,5.0442456,9.58646787
2018-06-13,4.57284508,21.8168055,10.5393279,5.18317859,43.53296529,5.96778208,23.00317566,9.18043422,3.390988,5.01084,9.4706399
2018-06-14,4.57284508,21.14139125,10.3805905,5.05634714,43.11475947,5.95862904,22.53193706,9.10713734,3.34860065,5.0442456,9.06864871
2018-06-15,4.57284508,21.1506435,10.19470065,4.93797112,42.92261085,5.72065,21.98664668,8.76813927,3.35707812,5.01084,9.13678281
2018-06-19,4.57284508,20.72504,9.8041231,4.44755618,42.38007357,5.15316152,20.16901208,7.88857671,3.36555559,4.7435952,8.33039001
2018-06-20,4.57284508,21.021112,9.7957685,4.46446704,44.61238842,5.16231456,20.44502326,7.82444194,3.26382595,4.8271092,8.73358362
2018-06-21,4.57284508,20.40121125,9.41354555,4.227715,44.18853117,4.97925376,19.4890821,7.55874075,3.20448366,4.7519466,8.43289686
2018-06-22,4.57284508,20.67877875,9.4239888,4.26999215,44.62934271,5.0799372,19.95358872,7.77863139,3.2214386,4.7853522,8.48756718
2018-06-25,4.57284508,20.12364375,9.1315778,4.19389328,44.99668566,5.01586592,19.95358872,7.68701029,3.16209631,4.676784,8.38506033
2018-06-26,4.57284508,19.88308525,8.8725852,4.29535844,45.07015425,5.07078416,20.44502326,7.86109038,3.10275402,4.6684326,8.58324024
2018-06-27,4.57284508,19.92009425,9.1274005,4.26999215,43.20518235,5.07078416,20.25652782,7.81527983,3.10275402,4.6517298,8.59007403
2018-06-28,4.57284508,19.3022789,9.06265235,4.227715,41.17066755,5.00671288,20.01417654,7.81527983,3.08579908,4.6517298,8.63791056
2018-06-29,4.57284765,19.7516045,9.2861379,4.26153672,42.81523368,5.16231456,20.89548405,8.07181891,3.13795279,4.718541,8.84292426
2018-07-02,4.57284765,19.0776161,9.23809895,4.17698242,42.6117822,5.11654936,20.29847022,7.79695561,3.02495172,4.6433784,8.53540371
2018-07-03,4.11634995,19.096338,8.92493289,4.32072473,40.97851893,5.12594082,20.90496046,8.10846735,3.01625933,4.6600812,8.50123476
2018-07-04,3.9195837,19.096338,8.5544928,4.29535844,39.59957001,5.04144729,19.86255536,7.8794146,3.09449084,4.7352438,8.52173613
2018-07-05,3.777912,18.347462,8.27188902,4.15161613,38.42407257,4.89123657,18.5737636,7.57706497,3.10318323,4.6517298,8.10487494
2018-07-06,3.7149468,18.65637335,8.37118224,4.24462586,39.54870714,4.92878925,18.40318822,7.71449662,3.06841367,4.6517298,8.11854252
2018-07-09,3.72281745,19.3958884,9.06241581,4.28690301,40.85418747,4.99450644,19.26554153,7.93438726,3.11187562,4.718541,8.23471695
2018-07-10,3.6677229,18.99336755,9.38320929,4.29535844,41.16501612,5.01328278,19.55931024,7.96219126,3.10318323,4.7101896,8.33039001
2018-07-11,3.4158621,18.71253905,9.7383735,4.17698242,40.89939891,4.87246023,19.13287179,7.72119362,2.9554126,4.6099728,8.0638722
2018-07-12,3.5103099,19.40524935,9.68108895,4.26153672,41.6510391,5.00389461,21.01867738,8.49053224,2.99887455,4.6934868,8.27571969
2018-07-13,3.50243925,19.845214,9.83384775,4.27844758,42.38007357,5.04144729,20.44061637,8.2495346,2.96410499,4.6851354,8.21421558
2018-07-16,3.45521535,19.9388235,10.17373608,4.30381387,42.22183353,4.98511827,20.70595585,8.40710998,2.94672021,4.6934868,8.22104937
2018-07-17,3.48669795,19.9949892,10.29594312,4.37991274,41.11415325,5.2573752,20.81019636,8.3885717,2.92933543,4.6851354,8.45339823
2018-07-18,3.5103099,20.1822082,10.16609814,4.34609102,41.8770963,5.1634935,20.26056458,8.22172718,2.87718109,4.7686494,8.28938727
2018-07-19,3.4473447,20.032433,10.25011548,4.33763559,41.37977046,5.11655265,20.98077174,8.25880374,2.84241153,4.7345902,8.30305485
2018-07-20,3.62836965,20.09795965,10.06298595,4.40527903,41.68494768,5.19165801,21.1323943,8.26807288,2.85110392,4.8027138,8.43289686
2018-07-23,3.6362403,20.09795965,10.70457291,4.44755618,39.66738717,5.22921069,22.19375222,8.42564826,2.96410499,4.8878683,8.77458636
2018-07-24,3.64411095,19.9949892,10.5785469,4.5659322,40.13080443,5.38880958,22.16532299,8.59249278,3.10318323,4.93044555,8.79508773
2018-07-25,3.65985225,19.62991215,10.41433119,4.57438763,40.62813027,5.37003324,22.14637017,8.49980138,3.12056801,4.8878683,8.69941467
2018-07-26,3.70707615,19.64863405,10.43724501,4.58284306,39.8425815,5.4451386,21.31244609,8.33295686,3.09449084,4.9048992,8.67207951
2018-07-27,3.67559355,19.8826578,10.02479625,4.53211048,39.7860672,5.3512569,21.30296968,8.2958803,3.08579845,4.8708374,8.80875531
2018-07-30,3.54966315,19.21803035,10.0057014,4.53211048,39.02312415,4.9757301,21.11344148,8.2958803,3.05972128,4.91341465,8.6789133
2018-07-31,3.5890164,19.5643855,10.20428784,4.54056591,38.92139841,5.07899997,21.35982814,8.42564826,3.07710606,4.8878683,8.68574709
2018-08-01,3.51818055,19.16186465,9.89495127,4.54902134,38.60491833,5.01328278,21.44511583,8.21245804,3.01625933,4.8197447,8.51490234
2018-08-02,3.34502625,19.2461132,9.89495127,4.40527903,39.2209242,4.89123657,21.04710661,7.86023072,2.92064304,4.70904385,8.32355622
2018-08-03,3.305673,18.76870475,10.38377943,4.59129849,37.57635807,4.75980219,19.90993741,7.74900104,2.8684887,4.6834975,8.29622106
2018-08-06,3.26631975,17.973024,9.47486457,4.43064532,34.95409455,4.71286134,19.32239999,7.63777136,2.85110392,4.6494357,8.03653704
2018-08-07,3.3843795,18.160243,9.48250251,4.87032768,35.85267192,4.82551938,20.17527689,7.88803814,2.94672021,4.74310565,8.22788316
2018-08-08,3.42373275,18.3287401,9.18080388,4.78577338,35.40055752,4.81613121,20.05208356,7.68411706,2.94672021,4.8197447,8.00236809
2018-08-09,3.42373275,18.6844562,9.31064886,4.84496139,37.89283815,4.91001291,21.25558763,7.93438384,3.00756694,4.8538065,8.14587768
2018-08-10,3.77004135,18.99336755,9.6238044,4.7350408,39.57696429,4.91940108,21.77679018,8.11976664,2.98148977,4.87935285,8.28255348
2018-08-13,4.14783255,18.9278409,9.66581307,4.69276365,39.75781005,4.93817742,22.24113427,8.31441858,2.96410499,4.8878683,8.200548
2018-08-14,4.564977,18.7967876,9.67345101,4.70121908,40.18731873,4.90062474,22.16532299,8.28661116,2.94672021,4.98153825,8.14587768
2018-08-15,4.1084793,18.5534029,9.57797676,4.63357564,38.16410679,4.82551938,21.59673839,8.2031889,2.87718109,4.9559919,8.03653704
2018-08-16,3.89597175,17.9543021,9.03186405,4.65894193,37.99456389,4.72224951,21.90945992,8.32368772,2.81633436,4.93044555,7.87252608
2018-08-17,3.62836965,17.96366305,8.55831177,4.52365505,36.66647784,4.65653232,21.68202608,8.13830492,2.80764197,4.91341465,7.5855069
2018-08-20,3.54966315,17.98238495,8.10003537,4.54056591,35.5474947,4.72224951,22.63914349,8.4812631,2.85110392,4.98153825,7.63334343
2018-08-21,3.5732751,17.785805,8.45519958,4.55747677,37.864581,4.74102585,22.60123785,8.50907052,2.88587348,4.96450735,7.42149594
2018-08-22,3.7936533,17.62666885,8.48957031,4.45601161,37.62156951,4.68469683,22.21270504,8.31441858,2.8684887,4.96450735,7.43516352
