date,hog_hk_muyuan_open,hog_hk_muyuan_high,hog_hk_muyuan_low,hog_hk_muyuan_close,hog_hk_muyuan_volume,hog_hk_muyuan_amount,hog_hk_muyuan_amplitude,hog_hk_muyuan_pct_chg,hog_hk_muyuan_turnover,hog_hk_muyuan_close_ret1,hog_hk_muyuan_close_ret5,hog_hk_muyuan_close_ret20,hog_hk_muyuan_close_ma20_gap,hog_hk_muyuan_close_z20,hog_hk_muyuan_volume_ret1,hog_hk_muyuan_volume_ret5,hog_hk_muyuan_volume_ret20,hog_hk_muyuan_volume_ma20_gap,hog_hk_muyuan_volume_z20,hog_hk_muyuan_amount_ret1,hog_hk_muyuan_amount_ret5,hog_hk_muyuan_amount_ret20,hog_hk_muyuan_amount_ma20_gap,hog_hk_muyuan_amount_z20
2026-03-20,44.78,45.52,44.2,44.7,1350700.0,60559260.0,,,,-0.001786511835640825,-0.024017467248908186,0.1461538461538463,0.03963159363661761,0.5535335421027322,-0.44280351470648904,-0.6411053540587219,-0.0053755522827687585,-0.6681039776891764,-0.9512396820093322,-0.4424338919779436,-0.6484363210285374,0.1405963602590503,-0.6612995285819079,-0.8919849571891952
2026-03-23,44.7,44.7,40.32,41.36,5131300.0,213689164.0,,,,-0.07472035794183451,-0.11015490533562822,0.056179775280899014,-0.04438437189528888,-0.65115005392645,2.7989931146812763,0.06277701835052407,6.992679127725856,0.2609837990994508,0.37150533280601555,2.5285960231350253,-0.05707558506650223,7.511806757450598,0.19264747674448657,0.26110654976156966
2026-03-24,41.48,42.88,41.0,42.52,3499100.0,146469213.0,,,,0.028046421663443066,-0.10295358649789021,0.0874680306905371,-0.020073287087184033,-0.3081157506980709,-0.31808703447469455,-0.3647471043171998,-0.3098694331584553,-0.18507095450092836,-0.28900717512667456,-0.31456883326100704,-0.4456807617443145,-0.2594761748892993,-0.22339241239000485,-0.3310679425160479
2026-03-25,42.98,43.8,42.28,42.5,1710300.0,73103600.0,,,,-0.00047036688617130284,-0.06879929886064862,0.08197556008146645,-0.024379045957485856,-0.4005068248091339,-0.5112171701294619,-0.6344966127412219,0.6637159533073931,-0.5942534589252086,-0.9113105402124694,-0.5008944302854963,-0.6591809964131942,0.8178269513467284,-0.6070442766676134,-0.8851607674601365
2026-03-26,42.5,42.56,40.24,40.66,2467000.0,101213314.0,,,,-0.04329411764705893,-0.09200535953550704,0.019558676028084143,-0.07005466230588031,-1.240351077367341,0.442436999356838,0.01769728971577078,-0.11156439213466196,-0.4194348889344466,-0.6574337924955317,0.3845188745834678,-0.06813402992384121,-0.08680154752340363,-0.46071236022104145,-0.6873082933545154
2026-03-27,40.66,42.24,39.9,41.38,2837300.0,117405261.0,,,,0.017707820954254938,-0.07427293064876961,0.013222331047992197,-0.054430784699053936,-0.9879538118338288,0.15010133765707345,1.1006144961871622,-0.5923653812999252,-0.32984845713154687,-0.5132879014201666,0.15997842932007944,0.9386838775771038,-0.5880910321391324,-0.3728305198609324,-0.5533378227111352
2026-03-30,41.48,41.74,38.18,38.88,7394345.0,289558945.0,,,,-0.06041565973900431,-0.05996131528046411,-0.048923679060665304,-0.1121057799904085,-2.063111375742776,1.6061202551721707,0.4410276148344474,0.9943750674290646,0.8358894679260072,1.2662593867350254,1.4663200143986734,0.3550473949161035,0.9145668380885537,0.6192984937372128,0.8869851411983686
2026-03-31,38.8,39.7,37.68,37.82,3086600.0,117711055.0,,,,-0.027263374485596792,-0.1105362182502353,-0.04446690247599794,-0.13433587401863167,-2.3066217615992017,-0.582572898613738,-0.11788745677459922,0.6832633473305338,-0.2671891143419194,-0.407571847022358,-0.5934815448370969,-0.19634268124319065,0.6007352164941999,-0.366236722339532,-0.5353776760356806
2026-04-01,38.26,39.2,37.58,38.54,3153200.0,121538024.0,,,,0.019037546271813754,-0.0931764705882353,-0.07132530120481928,-0.11607531937340887,-1.8616978629644116,0.021577139895030184,0.8436531602642812,-0.22308185088454147,-0.2623482308446261,-0.4125518653645559,0.032511551272732975,0.6625449909443584,-0.26874418453702376,-0.35332248616414585,-0.5296459407442698
2026-04-02,39.2,40.5,38.76,40.2,3038100.0,121406019.0,,,,0.043072132848988254,-0.011313330054107062,-0.050991501416430496,-0.07486249510965859,-1.1168954874602668,-0.036502600532792084,0.23149574381840288,-0.08518518518518514,-0.281667040342774,-0.4364258851304667,-0.0010861209986431364,0.19950641078702347,-0.14016734672587317,-0.3462563957303969,-0.5096221918473613
2026-04-08,40.52,41.2,39.8,40.4,2484500.0,101255467.0,,,,0.004975124378109319,-0.023682938617689775,-0.09660107334525936,-0.06794324604914082,-0.9835992382284933,-0.18221915012672396,-0.12434356606633068,-0.6868765415139069,-0.41058979985852495,-0.6327390019757476,-0.16597654849386012,-0.13755596523055302,-0.709717276222982,-0.4518416043987321,-0.6591585257945645
