stock_code,pipeline_dir,status,sample_path,intraday_path,trade_date,snapshot_rows,path
600312.SH,,ok,,,20260515,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260515\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260518,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260518\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260519,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260519\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260520,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260520\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260521,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260521\600312.SH\snapshot_5level.csv
600487.SH,,ok,,,20260515,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260515\600487.SH\snapshot_5level.csv
600487.SH,,ok,,,20260518,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260518\600487.SH\snapshot_5level.csv
600487.SH,,ok,,,20260519,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260519\600487.SH\snapshot_5level.csv
600487.SH,,ok,,,20260520,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260520\600487.SH\snapshot_5level.csv
600487.SH,,ok,,,20260521,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260521\600487.SH\snapshot_5level.csv
603308.SH,,ok,,,20260515,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260515\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260518,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260518\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260519,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260519\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260520,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260520\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260521,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260521\603308.SH\snapshot_5level.csv
600312.SH,saved_data\asof1455_dryrun_check\600312_pipeline_out,missing_paths,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_dryrun_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_dryrun_check\600312_pipeline_out\00_base\600312_5m.csv,,,
600312.SH,,ok,,,20260514,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260514\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260515,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260515\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260518,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260518\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260519,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260519\600312.SH\snapshot_5level.csv
600312.SH,,ok,,,20260520,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260520\600312.SH\snapshot_5level.csv
603308.SH,,ok,,,20260514,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260514\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260515,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260515\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260518,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260518\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260519,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260519\603308.SH\snapshot_5level.csv
603308.SH,,ok,,,20260520,48.0,reports\asof1455_saved_data_week_compare\synthetic_snapshot_cache\pending\20260520\603308.SH\snapshot_5level.csv
