code,name,board,industry,marketcap,sector
600895,张江高科,sh_mainboard,K70房地产业,52237398659.13216,35
000066,中国长城,sz_mainboard,C39计算机、通信和其他电子设备制造业,52222073938.81817,4
600497,驰宏锌锗,sh_mainboard,C32有色金属冶炼和压延加工业,51008618194.121056,20
002074,国轩高科,sz_mainboard,C38电气机械和器材制造业,50958446998.63575,1
000963,华东医药,sz_mainboard,F52零售业,50838364203.41332,42
600885,宏发股份,sh_mainboard,C38电气机械和器材制造业,50699991472.54226,1
002429,兆驰股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,50491790181.47222,4
600009,上海机场,sh_mainboard,G56航空运输业,49518958689.81194,34
600021,上海电力,sh_mainboard,D44电力、热力生产和供应业,49483999063.22329,7
000703,恒逸石化,sz_mainboard,C28化学纤维制造业,49081522791.70908,40
603979,金诚信,sh_mainboard,B11开采专业及辅助性活动,48555595144.73327,43
601618,中国中冶,sh_mainboard,E48土木工程建筑业,48200644615.38462,16
601298,青岛港,sh_mainboard,G55水上运输业,47665434650.11286,21
001872,招商港口,sz_mainboard,G55水上运输业,47629670375.62013,21
600642,申能股份,sh_mainboard,D44电力、热力生产和供应业,47617426239.097565,7
002422,科伦药业,sz_mainboard,C27医药制造业,47386671655.84416,12
601021,春秋航空,sh_mainboard,G56航空运输业,47360264401.56367,34
300567,精测电子,chinext,C40仪器仪表制造业,47330604311.86829,44
600196,复星医药,sh_mainboard,C27医药制造业,47261707040.035,12
002240,盛新锂能,sz_mainboard,C32有色金属冶炼和压延加工业,47133347774.97527,20
002273,水晶光电,sz_mainboard,C39计算机、通信和其他电子设备制造业,46937409278.9828,4
601117,中国化学,sh_mainboard,E48土木工程建筑业,46695882281.306885,16
600027,华电国际,sh_mainboard,D44电力、热力生产和供应业,46631761835.85634,7
002414,高德红外,sz_mainboard,C39计算机、通信和其他电子设备制造业,46493489133.20639,4
002138,顺络电子,sz_mainboard,C39计算机、通信和其他电子设备制造业,46373478000.061584,4
600392,盛和资源,sh_mainboard,C32有色金属冶炼和压延加工业,46257068170.94016,20
002558,巨人网络,sz_mainboard,I64互联网和相关服务,46202115267.002846,37
000559,万向钱潮,sz_mainboard,C36汽车制造业,46135436490.4387,11
300418,昆仑万维,chinext,I64互联网和相关服务,46096111811.37237,37
600377,宁沪高速,sh_mainboard,G54道路运输业,46082737184.82252,38
603929,亚翔集成,sh_mainboard,E49建筑安装业,45955845233.80845,45
601607,上海医药,sh_mainboard,F52零售业,45408586858.45047,42
002222,福晶科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,45078477690.354416,4
600143,金发科技,sh_mainboard,C29橡胶和塑料制品业,44792650174.39608,39
600141,兴发集团,sh_mainboard,C26化学原料和化学制品制造业,44752707018.602745,15
002378,章源钨业,sz_mainboard,C32有色金属冶炼和压延加工业,44697611549.12337,20
601212,白银有色,sh_mainboard,C32有色金属冶炼和压延加工业,44650512234.58122,20
002738,中矿资源,sz_mainboard,C32有色金属冶炼和压延加工业,44451590657.45265,20
002409,雅克科技,sz_mainboard,C26化学原料和化学制品制造业,44220487208.14182,15
601777,千里科技,sh_mainboard,C36汽车制造业,44035389583.49159,11
600985,淮北矿业,sh_mainboard,B06煤炭开采和洗选业,44033957306.85696,6
601216,君正集团,sh_mainboard,C26化学原料和化学制品制造业,43961991910.204834,15
000783,长江证券,sz_mainboard,J67资本市场服务,43798481714.44476,10
601238,广汽集团,sh_mainboard,C36汽车制造业,43560516747.337845,11
600995,南网储能,sh_mainboard,D44电力、热力生产和供应业,43466288504.25213,7
601878,浙商证券,sh_mainboard,J67资本市场服务,43360474040.88491,10
002407,多氟多,sz_mainboard,C26化学原料和化学制品制造业,43301774407.34376,15
603629,利通电子,sh_mainboard,C33金属制品业,43186521620.38381,27
600570,恒生电子,sh_mainboard,I65软件和信息技术服务业,42872865333.59523,18
300570,太辰光,chinext,C39计算机、通信和其他电子设备制造业,42685978652.79244,4
601058,赛轮轮胎,sh_mainboard,C29橡胶和塑料制品业,42613773229.28915,39
603806,福斯特,sh_mainboard,C29橡胶和塑料制品业,42522889163.60128,39
603699,纽威股份,sh_mainboard,C34通用设备制造业,42456609016.99926,22
600600,青岛啤酒,sh_mainboard,C15酒、饮料和精制茶制造业,42193037531.80661,3
600061,国投资本,sh_mainboard,J67资本市场服务,41946364110.13137,10
