code,source
002326,primary_cache
601519,primary_cache
600888,primary_cache
300660,primary_cache
002405,primary_cache
300319,primary_cache
300655,primary_cache
300170,primary_cache
601966,primary_cache
300122,primary_cache
600367,primary_cache
600820,primary_cache
000528,primary_cache
000723,primary_cache
600655,primary_cache
000966,primary_cache
002262,primary_cache
300199,primary_cache
601101,primary_cache
601333,primary_cache
000429,primary_cache
002317,primary_cache
601858,primary_cache
603031,primary_cache
300302,primary_cache
603011,primary_cache
002534,primary_cache
600151,primary_cache
002531,primary_cache
300487,primary_cache
002312,primary_cache
603871,primary_cache
002617,primary_cache
600808,primary_cache
000682,primary_cache
300184,primary_cache
300144,primary_cache
600835,primary_cache
600531,primary_cache
601326,primary_cache
002145,primary_cache
300413,primary_cache
603078,primary_cache
603505,primary_cache
300769,primary_cache
600452,primary_cache
603858,primary_cache
600338,primary_cache
603698,primary_cache
300455,primary_cache
600623,primary_cache
600877,primary_cache
000791,primary_cache
000970,primary_cache
000672,primary_cache
300100,primary_cache
002237,primary_cache
300593,primary_cache
000898,primary_cache
600783,primary_cache
603355,primary_cache
600063,primary_cache
600361,primary_cache
603025,primary_cache
603305,primary_cache
300083,primary_cache
002958,primary_cache
300179,primary_cache
600959,primary_cache
600528,primary_cache
600928,primary_cache
603601,primary_cache
000762,primary_cache
000778,primary_cache
002897,primary_cache
600739,primary_cache
600172,primary_cache
002320,primary_cache
002925,primary_cache
603267,primary_cache
603303,primary_cache
002896,primary_cache
603936,primary_cache
600629,primary_cache
600184,primary_cache
600403,primary_cache
300364,primary_cache
300263,primary_cache
300457,primary_cache
600763,primary_cache
603800,primary_cache
600120,primary_cache
600363,primary_cache
600750,primary_cache
300726,primary_cache
600343,primary_cache
600511,primary_cache
600651,primary_cache
601369,primary_cache
300005,primary_cache
000927,primary_cache
600320,primary_cache
000534,primary_cache
002158,primary_cache
002508,primary_cache
600744,primary_cache
002249,primary_cache
603039,primary_cache
000563,primary_cache
300296,primary_cache
600761,primary_cache
600575,primary_cache
300409,primary_cache
000681,primary_cache
600490,primary_cache
603868,primary_cache
300735,primary_cache
300331,primary_cache
600397,primary_cache
600867,primary_cache
600589,primary_cache
002151,primary_cache
002568,primary_cache
600113,primary_cache
002254,primary_cache
002838,primary_cache
600548,primary_cache
603317,primary_cache
600776,primary_cache
300723,primary_cache
000973,primary_cache
000902,primary_cache
600816,primary_cache
600416,primary_cache
600933,primary_cache
600710,primary_cache
601019,primary_cache
000901,primary_cache
002815,primary_cache
603009,primary_cache
600366,primary_cache
600773,primary_cache
002865,primary_cache
600456,primary_cache
000592,primary_cache
002643,primary_cache
002565,primary_cache
000700,primary_cache
600258,primary_cache
600675,primary_cache
300304,primary_cache
000581,primary_cache
600779,primary_cache
002946,primary_cache
600475,primary_cache
600022,primary_cache
000422,primary_cache
300676,primary_cache
000758,primary_cache
000767,primary_cache
002396,primary_cache
002051,primary_cache
603328,primary_cache
002773,primary_cache
002410,primary_cache
002183,primary_cache
000680,primary_cache
601965,primary_cache
002654,primary_cache
000088,primary_cache
002779,primary_cache
002733,primary_cache
002181,primary_cache
002741,primary_cache
600764,primary_cache
300166,primary_cache
300002,primary_cache
000620,primary_cache
600201,primary_cache
000612,primary_cache
600633,primary_cache
002922,primary_cache
600458,primary_cache
600167,primary_cache
600056,primary_cache
603515,primary_cache
601375,primary_cache
600872,primary_cache
300613,primary_cache
603906,primary_cache
002906,primary_cache
002010,primary_cache
002408,primary_cache
000685,primary_cache
603360,primary_cache
300229,primary_cache
300034,primary_cache
600621,primary_cache
002507,primary_cache
002081,primary_cache
603297,primary_cache
300720,primary_cache
300469,primary_cache
002416,primary_cache
600409,primary_cache
002544,primary_cache
002372,primary_cache
002759,primary_cache
300718,primary_cache
000785,primary_cache
002768,primary_cache
002413,primary_cache
000089,primary_cache
300328,primary_cache
002929,primary_cache
002911,primary_cache
002867,primary_cache
000099,primary_cache
600821,primary_cache
600064,primary_cache
002297,primary_cache
300253,primary_cache
600271,primary_cache
002208,primary_cache
000553,primary_cache
300468,primary_cache
