date,sample_count
2019-12-10,983
2019-12-11,983
2019-12-12,982
2019-12-13,984
2019-12-16,985
2019-12-17,984
2019-12-18,983
2019-12-19,984
2019-12-20,984
2019-12-23,986
2019-12-24,986
2019-12-25,984
2019-12-26,987
2019-12-27,986
2019-12-30,987
2019-12-31,986
2020-01-02,986
2020-01-03,986
2020-01-06,985
2020-01-07,986
2020-01-08,985
2020-01-09,985
2020-01-10,984
2020-01-13,985
2020-01-14,986
2020-01-15,985
2020-01-16,984
2020-01-17,985
2020-01-20,984
2020-01-21,986
2020-01-22,987
2020-01-23,987
2020-02-03,987
2020-02-04,987
2020-02-05,987
2020-02-06,987
2020-02-07,987
2020-02-10,987
2020-02-11,987
2020-02-12,987
2020-02-13,987
2020-02-14,987
2020-02-17,987
2020-02-18,986
2020-02-19,987
2020-02-20,987
2020-02-21,987
2020-02-24,987
2020-02-25,987
2020-02-26,987
2020-02-27,986
2020-02-28,986
2020-03-02,986
2020-03-03,986
2020-03-04,984
2020-03-05,985
2020-03-06,986
2020-03-09,985
2020-03-10,985
2020-03-11,984
2020-03-12,983
2020-03-13,983
2020-03-16,983
2020-03-17,983
2020-03-18,984
2020-03-19,986
2020-03-20,986
2020-03-23,987
2020-03-24,986
2020-03-25,986
2020-03-26,985
2020-03-27,986
2020-03-30,986
2020-03-31,985
2020-04-01,986
2020-04-02,986
2020-04-03,986
2020-04-07,985
2020-04-08,985
2020-04-09,985
2020-04-10,985
2020-04-13,986
2020-04-14,986
2020-04-15,984
2020-04-16,986
2020-04-17,986
2020-04-20,984
2020-04-21,984
2020-04-22,985
2020-04-23,984
2020-04-24,985
2020-04-27,985
2020-04-28,984
2020-04-29,983
2020-04-30,980
2020-05-06,982
2020-05-07,982
2020-05-08,983
2020-05-11,982
2020-05-12,983
2020-05-13,983
2020-05-14,983
2020-05-15,983
2020-05-18,983
2020-05-19,982
2020-05-20,982
2020-05-21,982
2020-05-22,983
2020-05-25,982
2020-05-26,982
2020-05-27,980
2020-05-28,981
2020-05-29,981
2020-06-01,981
2020-06-02,981
2020-06-03,982
2020-06-04,982
2020-06-05,981
2020-06-08,984
2020-06-09,983
2020-06-10,984
2020-06-11,984
2020-06-12,984
2020-06-15,985
2020-06-16,984
2020-06-17,984
2020-06-18,983
2020-06-19,983
2020-06-22,982
2020-06-23,984
2020-06-24,984
2020-06-29,984
2020-06-30,984
2020-07-01,985
2020-07-02,985
2020-07-03,985
2020-07-06,985
2020-07-07,984
2020-07-08,986
2020-07-09,986
2020-07-10,985
2020-07-13,983
2020-07-14,983
2020-07-15,982
2020-07-16,981
2020-07-17,982
2020-07-20,983
2020-07-21,983
2020-07-22,982
2020-07-23,981
2020-07-24,981
2020-07-27,982
2020-07-28,982
2020-07-29,984
2020-07-30,983
2020-07-31,983
2020-08-03,984
2020-08-04,984
2020-08-05,984
2020-08-06,984
2020-08-07,984
2020-08-10,986
2020-08-11,985
2020-08-12,985
2020-08-13,984
2020-08-14,984
2020-08-17,983
2020-08-18,982
2020-08-19,983
2020-08-20,983
2020-08-21,982
2020-08-24,983
2020-08-25,982
2020-08-26,983
2020-08-27,983
2020-08-28,982
2020-08-31,982
2020-09-01,984
2020-09-02,984
2020-09-03,986
2020-09-04,986
2020-09-07,986
2020-09-08,986
2020-09-09,985
2020-09-10,986
2020-09-11,986
2020-09-14,986
2020-09-15,986
2020-09-16,985
2020-09-17,984
2020-09-18,985
2020-09-21,982
2020-09-22,982
2020-09-23,980
2020-09-24,982
2020-09-25,982
2020-09-28,981
2020-09-29,983
2020-09-30,983
2020-10-09,984
2020-10-12,984
2020-10-13,986
2020-10-14,985
2020-10-15,985
2020-10-16,985
2020-10-19,984
2020-10-20,985
2020-10-21,985
2020-10-22,986
2020-10-23,986
2020-10-26,986
2020-10-27,986
2020-10-28,986
2020-10-29,985
2020-10-30,985
2020-11-02,985
2020-11-03,985
2020-11-04,985
2020-11-05,985
2020-11-06,985
2020-11-09,986
2020-11-10,986
2020-11-11,986
2020-11-12,987
2020-11-13,986
2020-11-16,987
2020-11-17,987
2020-11-18,987
2020-11-19,987
2020-11-20,986
2020-11-23,986
2020-11-24,985
2020-11-25,984
2020-11-26,986
2020-11-27,986
2020-11-30,985
2020-12-01,985
2020-12-02,983
2020-12-03,982
2020-12-04,981
2020-12-07,980
2020-12-08,982
2020-12-09,982
2020-12-10,982
2020-12-11,982
2020-12-14,983
2020-12-15,984
2020-12-16,986
2020-12-17,987
2020-12-18,987
2020-12-21,987
2020-12-22,986
2020-12-23,987
2020-12-24,987
2020-12-25,987
2020-12-28,986
