date,sample_count
2017-01-18,780
2017-01-19,778
2017-01-20,779
2017-01-23,783
2017-01-24,782
2017-01-25,787
2017-01-26,788
2017-02-03,787
2017-02-06,784
2017-02-07,784
2017-02-08,785
2017-02-09,785
2017-02-10,784
2017-02-13,785
2017-02-14,786
2017-02-15,788
2017-02-16,787
2017-02-17,786
2017-02-20,779
2017-02-21,779
2017-02-22,779
2017-02-23,779
2017-02-24,779
2017-02-27,784
2017-02-28,785
2017-03-01,785
2017-03-02,788
2017-03-03,791
2017-03-06,792
2017-03-07,792
2017-03-08,792
2017-03-09,793
2017-03-10,792
2017-03-13,791
2017-03-14,791
2017-03-15,792
2017-03-16,794
2017-03-17,794
2017-03-20,793
2017-03-21,792
2017-03-22,792
2017-03-23,792
2017-03-24,791
2017-03-27,795
2017-03-28,796
2017-03-29,797
2017-03-30,797
2017-03-31,796
2017-04-05,791
2017-04-06,792
2017-04-07,794
2017-04-10,793
2017-04-11,794
2017-04-12,797
2017-04-13,796
2017-04-14,793
2017-04-17,791
2017-04-18,796
2017-04-19,798
2017-04-20,797
2017-04-21,796
2017-04-24,794
2017-04-25,795
2017-04-26,799
2017-04-27,802
2017-04-28,803
2017-05-02,804
2017-05-03,805
2017-05-04,804
2017-05-05,804
2017-05-08,805
2017-05-09,808
2017-05-10,807
2017-05-11,809
2017-05-12,806
2017-05-15,806
2017-05-16,804
2017-05-17,806
2017-05-18,808
2017-05-19,809
2017-05-22,810
2017-05-23,812
2017-05-24,813
2017-05-25,811
2017-05-26,811
2017-05-31,810
2017-06-01,806
2017-06-02,807
2017-06-05,807
2017-06-06,810
2017-06-07,811
2017-06-08,810
2017-06-09,810
2017-06-12,808
2017-06-13,807
2017-06-14,812
2017-06-15,815
2017-06-16,817
2017-06-19,816
2017-06-20,815
2017-06-21,817
2017-06-22,812
2017-06-23,815
2017-06-26,815
2017-06-27,816
2017-06-28,816
2017-06-29,817
2017-06-30,813
2017-07-03,815
2017-07-04,818
2017-07-05,817
2017-07-06,815
2017-07-07,817
2017-07-10,821
2017-07-11,824
2017-07-12,822
2017-07-13,823
2017-07-14,826
2017-07-17,825
2017-07-18,825
2017-07-19,827
2017-07-20,825
2017-07-21,826
2017-07-24,827
2017-07-25,828
2017-07-26,831
2017-07-27,835
2017-07-28,836
2017-07-31,834
2017-08-01,834
2017-08-02,834
2017-08-03,835
2017-08-04,833
2017-08-07,835
2017-08-08,836
2017-08-09,838
2017-08-10,836
2017-08-11,836
2017-08-14,837
2017-08-15,837
2017-08-16,839
2017-08-17,837
2017-08-18,837
2017-08-21,842
2017-08-22,843
2017-08-23,842
2017-08-24,842
2017-08-25,843
2017-08-28,845
2017-08-29,842
2017-08-30,843
2017-08-31,841
2017-09-01,847
2017-09-04,844
2017-09-05,846
2017-09-06,848
2017-09-07,844
2017-09-08,842
2017-09-11,843
2017-09-12,846
2017-09-13,847
2017-09-14,846
2017-09-15,847
2017-09-18,847
2017-09-19,847
2017-09-20,846
2017-09-21,851
2017-09-22,852
2017-09-25,852
2017-09-26,852
2017-09-27,851
2017-09-28,852
2017-09-29,850
2017-10-09,850
2017-10-10,850
2017-10-11,851
2017-10-12,852
2017-10-13,853
2017-10-16,853
2017-10-17,853
2017-10-18,852
2017-10-19,852
2017-10-20,852
2017-10-23,854
2017-10-24,854
2017-10-25,858
2017-10-26,857
2017-10-27,854
2017-10-30,852
2017-10-31,851
2017-11-01,856
2017-11-02,861
2017-11-03,861
2017-11-06,860
2017-11-07,860
2017-11-08,861
2017-11-09,862
2017-11-10,863
2017-11-13,861
2017-11-14,861
2017-11-15,859
2017-11-16,858
2017-11-17,857
2017-11-20,859
