code,name,board,industry,recent_close,recent_turn,recent_volume,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,approx_circ_mv,marketcap_source,marketcap_confidence
600236,桂冠电力,sh_mainboard,D44电力、热力生产和供应业,10.0,0.2017,15898837.0,7882417947.446704,7882417947.446704,5,0.0002500187774449,78824179474.46704,baostock_approx_circ_mv,low_confidence_approx
002648,卫星化学,sz_mainboard,C26化学原料和化学制品制造业,23.27,2.5097,84489485.0,3366517312.826234,3366443592.201981,5,4.129057763209949e-05,78337142390.5401,baostock_approx_circ_mv,low_confidence_approx
600105,永鼎股份,sh_mainboard,C38电气机械和器材制造业,53.53,8.2441,120528038.0,1461991460.559673,1461994011.6358347,5,8.034701873725453e-06,78260539442.86623,baostock_approx_circ_mv,low_confidence_approx
601168,西部矿业,sh_mainboard,B09有色金属矿采选业,32.84,3.3681,80261505.0,2382990558.4751043,2382978400.9195647,5,4.075656317902067e-05,78257010686.19852,baostock_approx_circ_mv,low_confidence_approx
300498,温氏股份,chinext,A03畜牧业,13.08,0.8957,53277023.0,5948087864.240259,5949263366.023411,5,0.0002439793096627,77816364827.58621,baostock_approx_circ_mv,low_confidence_approx
603228,景旺电子,sh_mainboard,C39计算机、通信和其他电子设备制造业,79.48,4.1788,40776354.0,975790992.6294632,975793093.811678,5,1.4072669756621628e-05,77556035096.15218,baostock_approx_circ_mv,low_confidence_approx
002027,分众传媒,sz_mainboard,L72商务服务业,5.35,1.2925,186658755.0,14441683172.147003,14442337638.99809,5,8.386116840491407e-05,77266506368.63979,baostock_approx_circ_mv,low_confidence_approx
600703,三安光电,sh_mainboard,C39计算机、通信和其他电子设备制造业,15.31,6.3928,318935545.0,4988980493.68039,4989000028.418376,5,1.2956677900171384e-05,76381590435.08534,baostock_approx_circ_mv,low_confidence_approx
601179,中国西电,sh_mainboard,C38电气机械和器材制造业,14.82,3.6637,187794961.0,5125828015.394273,5125895679.765681,5,3.150207310864002e-05,75965773974.1274,baostock_approx_circ_mv,low_confidence_approx
601111,中国国航,sh_mainboard,G56航空运输业,6.52,1.5458,179898953.0,11637919071.03118,11637919071.03118,5,7.068577905999562e-05,75879232343.12329,baostock_approx_circ_mv,low_confidence_approx
000938,紫光股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,26.48,4.7651,136285618.0,2860078865.08153,2860073482.119109,5,1.8041888450866285e-05,75734745806.514,baostock_approx_circ_mv,low_confidence_approx
600010,包钢股份,sh_mainboard,C31黑色金属冶炼和压延加工业,2.41,2.1221,664610615.0,31318534234.95594,31318334774.96959,5,3.239181103941372e-05,75477186807.67671,baostock_approx_circ_mv,low_confidence_approx
000636,风华高科,sz_mainboard,C39计算机、通信和其他电子设备制造业,65.03,12.4305,143822078.0,1157009597.361329,1157011549.080433,5,6.090775989652271e-06,75240461036.70055,baostock_approx_circ_mv,low_confidence_approx
600674,川投能源,sh_mainboard,D44电力、热力生产和供应业,15.33,0.9237,45028313.0,4874776767.348706,4874822183.098591,5,7.601554400202937e-05,74731024066.9014,baostock_approx_circ_mv,low_confidence_approx
601800,中国交建,sh_mainboard,E48土木工程建筑业,6.32,0.5304,62495922.0,11782790723.9819,11783124120.66293,5,0.0002177095548841,74469344442.58972,baostock_approx_circ_mv,low_confidence_approx
002241,歌尔股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,23.56,2.3572,74091236.0,3143188359.0700827,3143175033.512981,5,2.0948571027271417e-05,74053203789.56583,baostock_approx_circ_mv,low_confidence_approx
002709,天赐材料,sz_mainboard,C39计算机、通信和其他电子设备制造业,49.02,7.2179,108918745.0,1509008783.7182558,1509014152.9520802,5,1.1758171974694773e-05,73971873777.71098,baostock_approx_circ_mv,low_confidence_approx
601186,中国铁建,sh_mainboard,E48土木工程建筑业,6.42,0.3814,43873252.0,11503212375.458836,11503469810.97449,5,0.0001963290425448,73852276186.45622,baostock_approx_circ_mv,low_confidence_approx
600585,海螺水泥,sh_mainboard,C30非金属矿物制品业,18.44,0.9839,39354943.0,3999892570.3831687,3999777282.453638,5,3.6026475451311693e-05,73755893088.4451,baostock_approx_circ_mv,low_confidence_approx
600026,中远海能,sh_mainboard,G55水上运输业,19.25,0.4489,17182883.0,3827775228.335932,3827737717.01694,5,4.039863914328273e-05,73683951052.5761,baostock_approx_circ_mv,low_confidence_approx
600029,南方航空,sh_mainboard,G56航空运输业,5.46,1.9167,258318361.0,13477245317.47274,13476937689.243029,5,9.2367227826171e-05,73584079783.26694,baostock_approx_circ_mv,low_confidence_approx
300548,长芯博创,chinext,C39计算机、通信和其他电子设备制造业,268.84,9.653,26291041.0,272361348.80348074,272361274.3652,5,1.3081413457226303e-05,73221605000.34036,baostock_approx_circ_mv,low_confidence_approx
002311,海大集团,sz_mainboard,C13农副食品加工业,44.38,0.6016,9891698.0,1644231715.425532,1644210374.6397696,5,9.600419915827968e-05,72970056426.51297,baostock_approx_circ_mv,low_confidence_approx
600869,远东股份,sh_mainboard,C38电气机械和器材制造业,32.68,7.8518,174259036.0,2219351435.339668,2219351435.339668,5,1.0825566416937498e-05,72528404906.90033,baostock_approx_circ_mv,low_confidence_approx
600039,四川路桥,sh_mainboard,E48土木工程建筑业,8.32,0.2204,19163504.0,8694874773.139746,8694950672.64574,5,0.0001548682842731,72341989596.41257,baostock_approx_circ_mv,low_confidence_approx
600482,中国动力,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,31.85,1.6657,37782380.0,2268258389.8661227,2268245818.412584,5,2.52051101823125e-05,72243629316.44078,baostock_approx_circ_mv,low_confidence_approx
002202,金风科技,sz_mainboard,C34通用设备制造业,21.34,3.8452,129334308.0,3363526162.488297,3363515124.4964004,5,2.709882976011817e-05,71777412756.75319,baostock_approx_circ_mv,low_confidence_approx
600436,片仔癀,sh_mainboard,C27医药制造业,118.57,0.4835,2917302.0,603371664.9431231,603343217.7920257,5,0.0001038143656777,71538405333.60048,baostock_approx_circ_mv,low_confidence_approx
000426,兴业银锡,sz_mainboard,B09有色金属矿采选业,40.26,5.5287,98145306.0,1775196809.3765264,1775213546.2361815,5,2.436904563769765e-05,71470097371.46867,baostock_approx_circ_mv,low_confidence_approx
002484,江海股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,86.73,5.6759,46569255.0,820473493.1905072,820473493.1905072,5,1.3256419598407386e-05,71159666064.41269,baostock_approx_circ_mv,low_confidence_approx
000708,中信特钢,sz_mainboard,C31黑色金属冶炼和压延加工业,14.08,0.4946,24964073.0,5047325717.751719,5047282500.429332,5,0.0001653846445894,71065737606.045,baostock_approx_circ_mv,low_confidence_approx
600875,东方电气,sh_mainboard,C34通用设备制造业,31.25,2.5941,58714836.0,2263399097.9530478,2263376259.4554863,5,3.0137622164866724e-05,70730508107.98395,baostock_approx_circ_mv,low_confidence_approx
600958,东方证券,sh_mainboard,J67资本市场服务,9.46,1.4182,105931892.0,7469460724.862503,7469458606.173995,5,0.0001325004648012,70661078414.406,baostock_approx_circ_mv,low_confidence_approx
002636,金安国纪,sz_mainboard,C39计算机、通信和其他电子设备制造业,97.34,8.5419,61870527.0,724318090.8228849,724317064.5535759,5,1.0804596243070355e-05,70505023063.64508,baostock_approx_circ_mv,low_confidence_approx
600418,江淮汽车,sh_mainboard,C36汽车制造业,32.23,2.9249,63881150.0,2184045608.396868,2183999593.9610944,5,3.886390498697506e-05,70390306913.36606,baostock_approx_circ_mv,low_confidence_approx
600115,中国东航,sh_mainboard,G56航空运输业,4.12,2.4501,417137051.0,17025307171.135874,17024993785.960873,5,5.02455192780119e-05,70142974398.1588,baostock_approx_circ_mv,low_confidence_approx
300661,圣邦股份,chinext,C39计算机、通信和其他电子设备制造业,116.83,5.6047,33573854.0,599030349.5280746,599032017.418618,5,7.137227000365979e-06,69984910595.01714,baostock_approx_circ_mv,low_confidence_approx
300223,北京君正,chinext,C39计算机、通信和其他电子设备制造业,164.3,12.2316,51580022.0,421694806.8936198,421693974.038347,5,5.342410946398022e-06,69284319934.50041,baostock_approx_circ_mv,low_confidence_approx
002851,麦格米特,sz_mainboard,C38电气机械和器材制造业,148.76,4.3475,19922503.0,458251937.8953422,458250645.7347958,5,0.000354072120587,68169366059.50822,baostock_approx_circ_mv,low_confidence_approx
