code,code_name,ipoDate,outDate,type,status,code6,baostock_code,name,list_date,out_date,board
sz.300598,诚迈科技,2017-01-20,,1,1,300598,sz.300598,诚迈科技,2017-01-20,,chinext
sz.300599,雄塑科技,2017-01-23,,1,1,300599,sz.300599,雄塑科技,2017-01-23,,chinext
sz.300600,国瑞科技,2017-01-25,,1,1,300600,sz.300600,国瑞科技,2017-01-25,,chinext
sz.300601,康泰生物,2017-02-07,,1,1,300601,sz.300601,康泰生物,2017-02-07,,chinext
sz.300602,飞荣达,2017-01-26,,1,1,300602,sz.300602,飞荣达,2017-01-26,,chinext
sz.300603,立昂技术,2017-01-26,,1,1,300603,sz.300603,立昂技术,2017-01-26,,chinext
sz.300604,长川科技,2017-04-17,,1,1,300604,sz.300604,长川科技,2017-04-17,,chinext
sz.300605,恒锋信息,2017-02-08,,1,1,300605,sz.300605,恒锋信息,2017-02-08,,chinext
sz.300606,金太阳,2017-02-08,,1,1,300606,sz.300606,金太阳,2017-02-08,,chinext
sz.300607,拓斯达,2017-02-09,,1,1,300607,sz.300607,拓斯达,2017-02-09,,chinext
sz.300608,思特奇,2017-02-13,,1,1,300608,sz.300608,思特奇,2017-02-13,,chinext
sz.300609,汇纳科技,2017-02-15,,1,1,300609,sz.300609,汇纳科技,2017-02-15,,chinext
sz.300610,晨化股份,2017-02-13,,1,1,300610,sz.300610,晨化股份,2017-02-13,,chinext
sz.300611,美力科技,2017-02-20,,1,1,300611,sz.300611,美力科技,2017-02-20,,chinext
sz.300612,宣亚国际,2017-02-15,,1,1,300612,sz.300612,宣亚国际,2017-02-15,,chinext
sz.300613,富瀚微,2017-02-20,,1,1,300613,sz.300613,富瀚微,2017-02-20,,chinext
sz.300614,百川畅银,2021-05-25,,1,1,300614,sz.300614,百川畅银,2021-05-25,,chinext
sz.300615,欣天科技,2017-02-15,,1,1,300615,sz.300615,欣天科技,2017-02-15,,chinext
sz.300616,尚品宅配,2017-03-07,,1,1,300616,sz.300616,尚品宅配,2017-03-07,,chinext
sz.300617,安靠智电,2017-02-28,,1,1,300617,sz.300617,安靠智电,2017-02-28,,chinext
sz.300618,寒锐钴业,2017-03-06,,1,1,300618,sz.300618,寒锐钴业,2017-03-06,,chinext
sz.300619,金银河,2017-03-01,,1,1,300619,sz.300619,金银河,2017-03-01,,chinext
sz.300620,光库科技,2017-03-10,,1,1,300620,sz.300620,光库科技,2017-03-10,,chinext
sz.300621,维业股份,2017-03-16,,1,1,300621,sz.300621,维业股份,2017-03-16,,chinext
sz.300622,博士眼镜,2017-03-15,,1,1,300622,sz.300622,博士眼镜,2017-03-15,,chinext
sz.300623,捷捷微电,2017-03-14,,1,1,300623,sz.300623,捷捷微电,2017-03-14,,chinext
sz.300624,万兴科技,2018-01-18,,1,1,300624,sz.300624,万兴科技,2018-01-18,,chinext
sz.300625,三雄极光,2017-03-17,,1,1,300625,sz.300625,三雄极光,2017-03-17,,chinext
sz.300626,华瑞股份,2017-03-20,,1,1,300626,sz.300626,华瑞股份,2017-03-20,,chinext
sz.300627,华测导航,2017-03-21,,1,1,300627,sz.300627,华测导航,2017-03-21,,chinext
sz.300628,亿联网络,2017-03-17,,1,1,300628,sz.300628,亿联网络,2017-03-17,,chinext
sz.300629,新劲刚,2017-03-24,,1,1,300629,sz.300629,新劲刚,2017-03-24,,chinext
sz.300630,普利退,2017-03-28,2025-05-22,1,0,300630,sz.300630,普利退,2017-03-28,2025-05-22,chinext
sz.300631,久吾高科,2017-03-23,,1,1,300631,sz.300631,久吾高科,2017-03-23,,chinext
sz.300632,光莆股份,2017-04-06,,1,1,300632,sz.300632,光莆股份,2017-04-06,,chinext
sz.300633,开立医疗,2017-04-06,,1,1,300633,sz.300633,开立医疗,2017-04-06,,chinext
sz.300634,彩讯股份,2018-03-23,,1,1,300634,sz.300634,彩讯股份,2018-03-23,,chinext
sz.300635,中达安,2017-03-31,,1,1,300635,sz.300635,中达安,2017-03-31,,chinext
sz.300636,同和药业,2017-03-31,,1,1,300636,sz.300636,同和药业,2017-03-31,,chinext
sz.300637,扬帆新材,2017-04-12,,1,1,300637,sz.300637,扬帆新材,2017-04-12,,chinext
sz.300638,广和通,2017-04-13,,1,1,300638,sz.300638,广和通,2017-04-13,,chinext
sz.300639,凯普生物,2017-04-12,,1,1,300639,sz.300639,凯普生物,2017-04-12,,chinext
sz.300640,德艺文创,2017-04-17,,1,1,300640,sz.300640,德艺文创,2017-04-17,,chinext
sz.300641,正丹股份,2017-04-18,,1,1,300641,sz.300641,正丹股份,2017-04-18,,chinext
sz.300642,透景生命,2017-04-21,,1,1,300642,sz.300642,透景生命,2017-04-21,,chinext
sz.300643,万通智控,2017-05-05,,1,1,300643,sz.300643,万通智控,2017-05-05,,chinext
sz.300644,南京聚隆,2018-02-06,,1,1,300644,sz.300644,南京聚隆,2018-02-06,,chinext
sz.300645,正元智慧,2017-04-21,,1,1,300645,sz.300645,正元智慧,2017-04-21,,chinext
sz.300647,超频三,2017-05-03,,1,1,300647,sz.300647,超频三,2017-05-03,,chinext
sz.300648,星云股份,2017-04-25,,1,1,300648,sz.300648,星云股份,2017-04-25,,chinext
sz.300649,杭州园林,2017-05-05,,1,1,300649,sz.300649,杭州园林,2017-05-05,,chinext
sz.300650,太龙股份,2017-05-03,,1,1,300650,sz.300650,太龙股份,2017-05-03,,chinext
sz.300651,金陵体育,2017-05-09,,1,1,300651,sz.300651,金陵体育,2017-05-09,,chinext
sz.300652,雷迪克,2017-05-16,,1,1,300652,sz.300652,雷迪克,2017-05-16,,chinext
sz.300653,正海生物,2017-05-16,,1,1,300653,sz.300653,正海生物,2017-05-16,,chinext
sz.300654,世纪天鸿,2017-09-26,,1,1,300654,sz.300654,世纪天鸿,2017-09-26,,chinext
sz.300655,晶瑞电材,2017-05-23,,1,1,300655,sz.300655,晶瑞电材,2017-05-23,,chinext
sz.300656,民德电子,2017-05-19,,1,1,300656,sz.300656,民德电子,2017-05-19,,chinext
sz.300657,弘信电子,2017-05-23,,1,1,300657,sz.300657,弘信电子,2017-05-23,,chinext
sz.300658,延江股份,2017-06-02,,1,1,300658,sz.300658,延江股份,2017-06-02,,chinext
sz.300659,中孚信息,2017-05-26,,1,1,300659,sz.300659,中孚信息,2017-05-26,,chinext
sz.300660,江苏雷利,2017-06-02,,1,1,300660,sz.300660,江苏雷利,2017-06-02,,chinext
sz.300661,圣邦股份,2017-06-06,,1,1,300661,sz.300661,圣邦股份,2017-06-06,,chinext
sz.300662,科锐国际,2017-06-08,,1,1,300662,sz.300662,科锐国际,2017-06-08,,chinext
sz.300663,科蓝软件,2017-06-08,,1,1,300663,sz.300663,科蓝软件,2017-06-08,,chinext
sz.300664,鹏鹞环保,2018-01-05,,1,1,300664,sz.300664,鹏鹞环保,2018-01-05,,chinext
sz.300665,飞鹿股份,2017-06-13,,1,1,300665,sz.300665,飞鹿股份,2017-06-13,,chinext
sz.300666,江丰电子,2017-06-15,,1,1,300666,sz.300666,江丰电子,2017-06-15,,chinext
sz.300667,必创科技,2017-06-19,,1,1,300667,sz.300667,必创科技,2017-06-19,,chinext
