code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,total_mv,circ_mv,marketcap_source,marketcap_confidence,rank_circ_mv,rank_total_mv,history_start,history_end,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,selected_for_train,selected_for_trade
600126,sh.600126,杭钢股份,sh_mainboard,C31黑色金属冶炼和压延加工业,证监会行业分类,1998-03-11,2026-06-15,,23437687916.95343,baostock_approx_circ_mv,low_confidence_approx,602,602,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601606,sh.601606,长城军工,sh_mainboard,C33金属制品业,证监会行业分类,2018-08-06,2026-06-15,,23356188027.405743,baostock_approx_circ_mv,low_confidence_approx,603,603,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600008,sh.600008,首创环保,sh_mainboard,D46水的生产和供应业,证监会行业分类,2000-04-27,2026-06-15,,23342876121.984528,baostock_approx_circ_mv,low_confidence_approx,604,604,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,True,True
600550,sh.600550,保变电气,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,2001-02-28,2026-06-15,,23277415873.674286,baostock_approx_circ_mv,low_confidence_approx,605,605,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
000415,sz.000415,渤海租赁,sz_mainboard,L71租赁业,证监会行业分类,1996-07-16,2026-06-15,,23243671157.110783,baostock_approx_circ_mv,low_confidence_approx,606,606,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
000683,sz.000683,博源化工,sz_mainboard,C26化学原料和化学制品制造业,证监会行业分类,1997-01-31,2026-06-15,,23227703777.949112,baostock_approx_circ_mv,low_confidence_approx,607,607,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
000400,sz.000400,许继电气,sz_mainboard,C38电气机械和器材制造业,证监会行业分类,1997-04-18,2026-06-15,,23158224621.913044,baostock_approx_circ_mv,low_confidence_approx,608,608,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600095,sh.600095,湘财股份,sh_mainboard,J67资本市场服务,证监会行业分类,1997-07-08,2026-06-15,,23130986612.416325,baostock_approx_circ_mv,low_confidence_approx,609,609,2019-06-15,2026-06-15,1676,0.9976190476190476,252,False,False,True,True
600486,sh.600486,扬农化工,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2002-04-25,2026-06-15,,23111921873.697372,baostock_approx_circ_mv,low_confidence_approx,610,610,2019-06-15,2026-06-15,1692,1.0071428571428571,252,False,False,True,True
601228,sh.601228,广州港,sh_mainboard,G55水上运输业,证监会行业分类,2017-03-29,2026-06-15,,23009013649.103138,baostock_approx_circ_mv,low_confidence_approx,611,611,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
603881,sh.603881,数据港,sh_mainboard,I65软件和信息技术服务业,证监会行业分类,2017-02-08,2026-06-15,,22988084921.918026,baostock_approx_circ_mv,low_confidence_approx,612,612,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601099,sh.601099,太平洋,sh_mainboard,J67资本市场服务,证监会行业分类,2007-12-28,2026-06-15,,22834326110.56925,baostock_approx_circ_mv,low_confidence_approx,613,613,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300657,sz.300657,弘信电子,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2017-05-23,2026-06-15,,22736545359.888237,baostock_approx_circ_mv,low_confidence_approx,614,614,2019-06-15,2026-06-15,1690,1.005952380952381,252,False,False,True,False
300762,sz.300762,上海瀚讯,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2019-03-14,2026-06-15,,22682067204.97511,baostock_approx_circ_mv,low_confidence_approx,615,615,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
300496,sz.300496,中科创达,chinext,I65软件和信息技术服务业,证监会行业分类,2015-12-10,2026-06-15,,22676728659.76971,baostock_approx_circ_mv,low_confidence_approx,616,616,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
603063,sh.603063,禾望电气,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,2017-07-28,2026-06-15,,22673785164.488167,baostock_approx_circ_mv,low_confidence_approx,617,617,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
603301,sh.603301,振德医疗,sh_mainboard,C27医药制造业,证监会行业分类,2018-04-12,2026-06-15,,22666875811.273975,baostock_approx_circ_mv,low_confidence_approx,618,618,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601666,sh.601666,平煤股份,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2006-11-23,2026-06-15,,22619254066.606518,baostock_approx_circ_mv,low_confidence_approx,619,619,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300568,sz.300568,星源材质,chinext,C26化学原料和化学制品制造业,证监会行业分类,2016-12-01,2026-06-15,,22600049059.37993,baostock_approx_circ_mv,low_confidence_approx,620,620,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
300383,sz.300383,光环新网,chinext,I65软件和信息技术服务业,证监会行业分类,2014-01-29,2026-06-15,,22572451192.580147,baostock_approx_circ_mv,low_confidence_approx,621,621,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
002318,sz.002318,久立特材,sz_mainboard,C33金属制品业,证监会行业分类,2009-12-11,2026-06-15,,22396789117.860775,baostock_approx_circ_mv,low_confidence_approx,622,622,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300558,sz.300558,贝达药业,chinext,C27医药制造业,证监会行业分类,2016-11-07,2026-06-15,,22374631697.013554,baostock_approx_circ_mv,low_confidence_approx,623,623,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
600970,sh.600970,中材国际,sh_mainboard,E48土木工程建筑业,证监会行业分类,2005-04-12,2026-06-15,,22363370033.3857,baostock_approx_circ_mv,low_confidence_approx,624,624,2019-06-15,2026-06-15,1675,0.9970238095238095,252,False,False,True,True
300347,sz.300347,泰格医药,chinext,M73研究和试验发展,证监会行业分类,2012-08-17,2026-06-15,,22319151440.63052,baostock_approx_circ_mv,low_confidence_approx,625,625,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
600388,sh.600388,龙净环保,sh_mainboard,C35专用设备制造业,证监会行业分类,2000-12-29,2026-06-15,,22314343252.757793,baostock_approx_circ_mv,low_confidence_approx,626,626,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,True,True
002716,sz.002716,湖南白银,sz_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,2014-01-28,2026-06-15,,22248833288.5212,baostock_approx_circ_mv,low_confidence_approx,627,627,2019-06-15,2026-06-15,1684,1.0023809523809524,252,False,False,True,True
002171,sz.002171,楚江新材,sz_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,2007-09-21,2026-06-15,,22221196015.68201,baostock_approx_circ_mv,low_confidence_approx,628,628,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600685,sh.600685,中船防务,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,1993-10-28,2026-06-15,,22203588854.625553,baostock_approx_circ_mv,low_confidence_approx,629,629,2019-06-15,2026-06-15,1692,1.0071428571428571,252,False,False,True,True
000709,sz.000709,河钢股份,sz_mainboard,C31黑色金属冶炼和压延加工业,证监会行业分类,1997-04-16,2026-06-15,,22118239940.693436,baostock_approx_circ_mv,low_confidence_approx,630,630,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300679,sz.300679,电连技术,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2017-07-31,2026-06-15,,22005010261.488815,baostock_approx_circ_mv,low_confidence_approx,631,631,2019-06-15,2026-06-15,1687,1.0041666666666667,252,False,False,True,False
000825,sz.000825,太钢不锈,sz_mainboard,C31黑色金属冶炼和压延加工业,证监会行业分类,1998-10-21,2026-06-15,,21987269242.210537,baostock_approx_circ_mv,low_confidence_approx,632,632,2019-06-15,2026-06-15,1696,1.0095238095238095,252,False,False,True,True
600688,sh.600688,上海石化,sh_mainboard,C25石油、煤炭及其他燃料加工业,证监会行业分类,1993-11-08,2026-06-15,,21986394457.919395,baostock_approx_circ_mv,low_confidence_approx,633,633,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600329,sh.600329,达仁堂,sh_mainboard,C27医药制造业,证监会行业分类,2001-06-06,2026-06-15,,21985180359.765057,baostock_approx_circ_mv,low_confidence_approx,634,634,2019-06-15,2026-06-15,1696,1.0095238095238095,252,False,False,True,True
603738,sh.603738,泰晶科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2016-09-28,2026-06-15,,21960865194.16569,baostock_approx_circ_mv,low_confidence_approx,635,635,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002603,sz.002603,以岭药业,sz_mainboard,C27医药制造业,证监会行业分类,2011-07-28,2026-06-15,,21927633479.895866,baostock_approx_circ_mv,low_confidence_approx,636,636,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600521,sh.600521,华海药业,sh_mainboard,C27医药制造业,证监会行业分类,2003-03-04,2026-06-15,,21920091045.843723,baostock_approx_circ_mv,low_confidence_approx,637,637,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
