trade_date,stock_code,pipeline_dir,sample_file,intraday_bars,feature_group,feature_count,comparable_features,live_missing,train_missing,exactish_features,exactish_share,median_abs_rel_diff,p90_abs_rel_diff,p99_abs_rel_diff,max_abs_rel_diff,lagged_daily_filled,lagged_daily_missing
2026/5/21,600522.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv,all_no_ak,144,144,0,0,144,1,0,0,1.33E-15,1.77E-15,57,0
2026/5/22,600522.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv,all_no_ak,144,144,0,0,144,1,0,0,1.12E-15,5.51E-15,57,0
2026/5/25,600522.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv,all_no_ak,144,144,0,0,144,1,0,0,1.72E-15,3.29E-15,57,0
2026/5/19,600584.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,4.38E-16,2.09E-15,57,0
2026/5/20,600584.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,1.49E-16,5.37E-16,57,0
2026/5/21,600584.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,2.82E-16,4.74E-14,57,0
2026/5/22,600584.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,1.48E-16,2.18E-16,57,0
2026/5/25,600584.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,7.63E-17,3.95E-16,57,0
2026/5/19,600919.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\00_base\600919_5m.csv,all_no_ak,73,73,0,0,73,1,0,1.92E-16,9.21E-15,9.92E-15,9,0
2026/5/20,600919.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\00_base\600919_5m.csv,all_no_ak,73,73,0,0,73,1,0,0,3.22E-14,3.95E-14,9,0
